"","org","category","type","expense name","description","expectedattendees","event off campus","collabhso","collabrso","speaker","eventtotal","eventsplanned","actual","attendactual","eventsactual","externalreceived","totalrollover","date","amount"
"115","Behavioral Economics in Public Policy",NA,"miscellaneous",NA,NA,NA,NA,NA,"With Booth school and undergrad division",NA,95,3,698.56,NA,4,0,350,NA,NA
"116","Behavioral Economics in Public Policy","workshop","refreshments","Networking panel/ Speaker session","Industry experts with Booth school and undergrad division",20,"FALSE","FALSE","TRUE","FALSE",70,3,698.56,NA,4,0,350,NA,65
"117","Behavioral Economics in Public Policy","workshop","supplies","Networking panel/ Speaker session","Industry experts with Booth school and undergrad division",20,"FALSE","FALSE","TRUE","FALSE",70,3,698.56,NA,4,0,350,NA,5
"118","Behavioral Economics in Public Policy","workshop","equipment","Networking panel/ Speaker session","Industry experts with Booth school and undergrad division",20,"FALSE","FALSE","TRUE","FALSE",70,3,698.56,NA,4,0,350,NA,NA
"119","Behavioral Economics in Public Policy","workshop","services","Networking panel/ Speaker session","Industry experts with Booth school and undergrad division",20,"FALSE","FALSE","TRUE","FALSE",70,3,698.56,NA,4,0,350,NA,NA
"120","Behavioral Economics in Public Policy","workshop","miscellaneous","Networking panel/ Speaker session","Industry experts with Booth school and undergrad division",20,"FALSE","FALSE","TRUE","FALSE",70,3,698.56,NA,4,0,350,NA,NA
"121","Behavioral Economics in Public Policy",NA,"refreshments",NA,NA,NA,NA,NA,"with Booth school and undergrad division",NA,70,3,698.56,NA,4,0,350,NA,65
"122","Behavioral Economics in Public Policy",NA,"supplies",NA,NA,NA,NA,NA,"with Booth school and undergrad division",NA,70,3,698.56,NA,4,0,350,NA,5
"123","Behavioral Economics in Public Policy",NA,"equipment",NA,NA,NA,NA,NA,"with Booth school and undergrad division",NA,70,3,698.56,NA,4,0,350,NA,NA
"124","Behavioral Economics in Public Policy",NA,"services",NA,NA,NA,NA,NA,"with Booth school and undergrad division",NA,70,3,698.56,NA,4,0,350,NA,NA
"125","Behavioral Economics in Public Policy",NA,"miscellaneous",NA,NA,NA,NA,NA,"with Booth school and undergrad division",NA,70,3,698.56,NA,4,0,350,NA,NA
"126","Crime & Justice Policy Association","speaker","refreshments","Planting Justice Series 1: Environmental Rights and Land Sovereignty","This event will focus on environmental justice and land rights, with a case study on Colombia. Attendees will engage in hands-on activities like making potted plants while discussing the intersection of environmental conservation, land sovereignty, and community empowerment. Speakers will highlight the role of African descendant communities and grassroots movements in advocating for land rights and environmental protection.

CJPA aims to partner with LVEJO’s - Their mission and accomplishments align perfectly with the event’s focus on environmental justice, land rights, and community empowerment. Their history of grassroots activism, food sovereignty initiatives, and environmental remediation provides a rich foundation for meaningful discussions and activities tied to the event's goals.

Activities included in the event -  this will  be a two part series event on two consecuitve fridays in April

Event 1 - Hands-On Activity: Making Potted Plants - LVEJO’s Semillas de Justicia Community Garden is a prime example of reclaiming contaminated land and transforming it into a thriving green space.Representatives from LVEJO will lead the potted plant activity, sharing their expertise in sustainable gardening techniques while discussing how urban agriculture can empower communities to reclaim land and promote food sovereignty.This activity could highlight how ancestral farming practices are preserved and passed on through such initiatives.

Event 2 -  Land Justice & Global Connections - LVEJO’s work in addressing environmental racism in Little Village mirrors struggles faced by descendant communities in Colombia. Both involve fighting for land rights, resisting industrial exploitation, and advocating for community-led solutions. In a lecture / workshop LVEJO will provide a comparative perspective, showcasing how local efforts in Chicago connect to global movements for land sovereignty and environmental justice. Speakers are TBD but we are in talks with Juliana Pino (Deputy Director) or Kim Wasserman (Executive Director) to discuss how community-led efforts can reclaim land, protect health, and create sustainable futures.
",NA,"TRUE","FALSE","FALSE","YES - WOMEN",400,4,2385.62,NA,6,1866,1952,NA,300
